的	50155.13
我	50147.83
你	39629.27
是	28253.52
了	28210.53
不	20543.44
在	12811.05
他	11853.78
我们	11080.02
好	9977.13
有	8618.15
这	8554.9
就	8246.34
会	7927.17
吗	7428.1
要	7114.18
什么	7050.42
说	6765.38
她	6600.39
想	6325.1
一	6069.96
很	5979.28
知道	5864.84
人	5810.26
吧	5785.52
那	5666.37
来	5519.32
都	5294.71
个	5184
能	4967.91
去	4860.53
没	4754.83
和	4483.86
他们	4187.02
到	4159.42
对	3958.83
也	3928.9
啊	3903.92
还	3884.93
把	3712.28
让	3690.67
做	3647.59
给	3494.19
一个	3479.53
上	3409.33
你们	3366.85
过	3350.21
没有	3226.48
得	3135.62
看	3056.83
真	3053.82
着	2983.65
事	2912.82
这个	2744.19
怎么	2657.98
现在	2626.8
可以	2360.84
点	2315.14
呢	2287.93
如果	2277.94
只	2167.08
别	2082.63
哦	2068.17
但	2034.22
被	1958.33
走	1945.3
太	1942.11
这样	1916.59
里	1886.22
跟	1877.36
告诉	1824.99
因为	1783.29
自己	1728.29
再	1684.82
听	1636.18
这里	1606.72
快	1595.1
谁	1573.4
但是	1571.49
多	1568.12
用	1563.08
时候	1555.33
下	1549.34
已经	1543.29
谢谢	1533.9
为什么	1522.16
觉得	1521.68
天	1510.14
像	1497.29
这么	1463.1
它	1461.37
从	1410.37
先生	1396.99
找	1390.52
最	1385.06
喜欢	1375.58
可	1374.9
为	1358.26
大	1343.24
可能	1324.25
需要	1322.4
是的	1317.87
死	1313.28
次	1307.83
出	1275.36
那么	1245.85
干	1241.59
那个	1234.61
嘿	1227.4
们	1191.12
话	1189.39
而	1173.92
么	1166.14
东西	1136.54
应该	1127.12
孩子	1110.19
起来	1109.06
所以	1103.36
这些	1095.05
才	1094.48
两	1090.43
错	1078.09
还有	1071.11
又	1060.05
小	1042.34
中	1039.21
叫	1032.83
嗯	1032.57
该	1018.56
等	1014
问题	994.56
一起	980.4
拿	964.66
更	961.44
开始	957.66
帮	947.73
打	930.74
爱	927.73
带	926.15
时间	915.24
年	913.6
请	912.11
回	902
工作	899.97
然后	886.89
当	882.92
见	874.61
钱	871.06
噢	870.14
一样	860.33
事情	839.91
就是	838.75
吃	832.07
所有	827.18
开	816.24
一下	809.95
家	805.63
非常	804.14
看到	798.38
希望	794.66
那些	788.46
哪	786.52
当然	784.37
也许	777.52
行	776
朋友	775.55
妈妈	766.99
相信	766.07
前	763.51
嗨	755.22
认为	754
将	743.62
这儿	739.99
今天	737.78
明白	737.6
一直	731.85
看看	724.93
车	714.65
时	699.69
杀	697.69
地方	696.29
不过	695.54
呃	677.69
发生	673.75
几	668.65
回来	668.42
准备	661.83
找到	659.62
后	656.34
爸爸	653.72
一切	647.13
抱歉	642.78
比	637.06
感觉	635.39
些	634.52
只是	632.35
怎么样	625.58
出来	624.15
